name,diameter,center_lon,center_lat,type,code
Saunder S,3.169560000000000,9.743042175883900,-2.377743181297710,Satellite Feature,SF
Saussure B,3.954480000000000,355.981995228513000,-42.268752270511700,Satellite Feature,SF
Scheiner S,6.773140000000000,334.665871883254000,-58.386076774800500,Satellite Feature,SF
Schickard L,8.588280000000000,300.196113983244000,-44.120309770108600,Satellite Feature,SF
Secchi K,6.005650000000000,45.500218741813200,-0.174285848800526,Satellite Feature,SF
Wessex Cleft,3.492600000000000,30.891545915993200,20.343011528197600,Landing site name,LF
Plaskett,114.342000000000000,176.714692284287000,81.633230817610600,"Crater, craters",AA
Tacitus M,5.847370000000000,21.475310375713000,-13.968260608907000,Satellite Feature,SF
Rozhdestvenskiy,181.151000000000000,202.107639149108000,84.994312011376300,"Crater, craters",AA
Von Kármán,186.348000000000000,176.245115889459000,-44.450536571090100,"Crater, craters",AA
Sharp-Apollo,0.014000000000000,336.569046600191000,-3.020210271396260,Landing site name,LF
Webb N,5.862480000000000,63.624053393543400,-0.320345789094939,Satellite Feature,SF
W. Bond,170.532000000000000,3.519475499780620,65.405154735546500,"Crater, craters",AA
Catena Brigitte,7.650300000000000,27.492963439368100,18.495359322404000,"Catena, catenae",CA
Middle Crescent,0.363000000000000,336.565887760330000,-3.003387453919480,Landing site name,LF
Surveyor,0.205000000000000,336.576460268462000,-3.008880601620640,Landing site name,LF
Triplet,0.321900000000000,342.533454521806000,-3.647804256288380,Landing site name,LF
Cone,0.333000000000000,342.566413785962000,-3.624801634747130,Landing site name,LF
Dorsum Oppel,297.618000000000000,52.086928419000100,19.313864835000100,"Dorsum, dorsa",DO
Dorsum Owen,33.468700000000000,11.094288012000000,25.139362464000000,"Dorsum, dorsa",DO
Dorsum Scilla,107.520000000000000,300.004242954133000,32.344232519421700,"Dorsum, dorsa",DO
Rima Agatharchides,54.251000000000000,331.435666838221000,-20.378424861337500,"Rima, rimae",RI
Dorsa Smirnov,221.784000000000000,25.529441691000000,26.408200016000100,"Dorsum, dorsa",DO
Dorsum Thera,7.245040000000000,328.577476951110000,24.402877925580100,"Dorsum, dorsa",DO
Montes Jura,420.796000000000000,323.888996383538000,47.493528939838800,"Mons, montes",MO
Montes Secchi,52.466000000000000,43.172759054887900,2.717180423324580,"Mons, montes",MO
Planitia Descensus,0.000000000000000,295.845610161522000,7.180303589564710,"Planitia, planitiae",PL
Rima Archytas,90.182300000000000,2.998543218256310,53.628575913670400,"Rima, rimae",RI
Vallis Rheita,509.071000000000000,51.654037083017900,-42.512563619783200,"Vallis, valles",VA
Dorsa Sorby,76.025600000000000,13.699306563122500,18.647528976883300,"Dorsum, dorsa",DO
Vallis Schrödinger,301.715000000000000,104.880752923810000,-66.518491999525300,"Vallis, valles",VA
Dorsa Stille,66.320400000000000,341.145519228317000,26.907936371897800,"Dorsum, dorsa",DO
Dorsum Buckland,369.125000000000000,14.299471804727100,19.432895378381500,"Dorsum, dorsa",DO
Rima Réaumur,30.664300000000000,2.466185582646170,-2.838280158900290,"Rima, rimae",RI
Dorsum Cushman,85.651500000000000,49.193464752501200,1.417099585002260,"Dorsum, dorsa",DO
Dorsum Gast,64.869700000000000,8.706792268000070,24.375280595000000,"Dorsum, dorsa",DO
Dorsa Tetyaev,187.526000000000000,64.064031144000100,20.024959376000100,"Dorsum, dorsa",DO
Dorsum Cayeux,95.135300000000000,51.220367762000100,0.762790124000048,"Dorsum, dorsa",DO
Dorsum Cloos,103.087000000000000,90.409978619571400,1.149489041314320,"Dorsum, dorsa",DO
Rima Carmen,15.019900000000000,29.297963802944900,19.954796240618600,"Rima, rimae",RI
Dorsum Heim,146.786000000000000,330.166484910016000,32.196052292460500,"Dorsum, dorsa",DO
Dorsum Higazy,63.099900000000000,342.534494940000000,27.931434774000100,"Dorsum, dorsa",DO
Rima Ariadaeus,247.449000000000000,13.438116207182800,6.475180684165070,"Rima, rimae",RI
Rima Billy,69.821300000000000,311.959306876750000,-14.740664849962900,"Rima, rimae",RI
