name,diameter,center_lon,center_lat
Dorsa Lister,180.08,23.51,19.76
Dorsa Mawson,142.71,52.48,-7.77
Dorsa Rubey,100.63,317.63,-9.87
Rima Cauchy,167,38.07,10.41
Rima Cleomedes,45.54,56.51,27.97
Rimae Repsold,152.05,279.54,50.73
Catena Sumner,220.51,111.91,37.89
Rima Schröter,27.24,353.75,1.27
Rima Agricola,125.07,306.57,29.24
Rupes Altai,545.19,23.12,-24.31
Rima Artsimovich,68.05,321.35,26.66
Rima Bradley,133.76,359.39,24.17
Rima Brayley,327.26,323.64,22.29
Rima Calippus,40,12.65,37.03
Rima Cardanus,221.92,288.86,11.31
Rima Cleopatra,14.66,306.19,30.03
Rima Conon,37.31,1.85,18.69
Rima Dawes,15,26.63,17.57
Rima Delisle,57.59,327.65,30.87
Rimae Palmieri,27.12,312.82,-27.83
Aloha,2.54,306.12,29.79
Rupes Liebig,144.78,314.07,-25.13
Rupes Mercator,132.40,337.15,-30.20
Rupes Recta,115.94,352.29,-21.67
Rima Diophantus,201.50,326.32,28.70
Rimae Menelaus,87,17.77,17.10
Rima Draper,244.15,334.63,17.36
Rima Marius,283.54,310.45,16.37
Alhazen,34.64,71.82,15.91
Rima Mairan,120.51,313.17,38.27
Rima Marcello,3.95,27.73,18.58
Promontorium Kelvin,45.00,326.55,-26.94
Rimae Maupertuis,50,337.17,51.23
Rima Galilaei,185.87,300.79,12.90
Aliacensis,79.64,5.13,-30.59
Rupes Boris,8.58,326.40,30.67
Rupes Cauchy,169.84,37.07,9.31
Almanon,47.75,15.13,-16.84
Rima Krieger,22.62,313.73,29.29
Alpetragius,40.02,355.48,-16.04
Alphonsus,110.54,357.15,-13.38
Rimae Alphonsus,87,358.05,-13.40
Rimae Apollonius,89.63,54.33,4.38
Alter,64.73,252.20,18.74
Rima Euler,104.97,329.68,21.08
Rima Flammarion,49.74,355.32,-2.38
Rima Furnerius,65.85,61.17,-35.29
Rima G. Bond,166.84,35.25,32.85
Rima Hyginus,203.96,6.77,7.61
Rima Jansen,45.12,29.51,14.49
Rima Gay-Lussac,40.03,337.67,13.17
Rupes Kelvin,85.91,326.82,-28.02
Rima Hadley,116.08,3.14,25.71
Rima Hansteen,30.89,307.00,-12.08
Rima Hesiodus,251.46,338.15,-30.53
Artemis,2.28,334.64,25.03
Rima T. Mayer,67.80,328.62,13.25
Rima Vladimir,10.50,359.24,25.19
Artem'ev,66.39,214.77,10.39
Rupes Toscanelli,50.13,312.46,26.97
Rima Milichius,140.72,327.13,8.02
Rima Oppolzer,94.2,1.27,-1.53
Rima Reiko,4.29,27.71,18.55
Rimae Doppelmayer,7.79,315.47,-26.23
Rimae Focas,61,262.45,-27.68
Banting,5.14,16.42,26.58
Rima Wan-Yu,13.71,328.56,19.98
Rimae de Gasparis,46.65,309.69,-24.98
Rimae Sirsalis,405,298.64,-15.00
Rimae Fresnel,75,3.72,28.11
Rimae Aristarchus,175,312.75,27.52
Ameghino,9.19,57.03,3.29
Rimae Archimedes,215,355.47,26.33
Rimae Atlas,46.8,44.41,46.81
Amici,52.03,187.77,-10.06
Ammonius,8.55,359.17,-8.52
Rimae Bode,233,356.77,9.54
Rimae Boscovich,32,11.26,9.87
