name,diameter,center_lon,center_lat
Chafe,4.66,102.40,15.10
Chamberlin,120.24,235.70,-65.84
Changs?ng,33.54,302.66,23.47
Chapais,36.66,339.44,-22.34
Charlier,106.27,191.53,-68.56
Charlieu,18.62,276.01,38.15
Chatturat,7.83,265.05,35.38
Chauk,9.96,304.09,23.35
Cheb,8.27,340.55,-24.19
Chefu,11.27,112.24,-22.91
Chekalin,87.78,333.19,-24.27
Chia,91.90,300.34,1.57
Chimbote,62.86,320.31,-1.42
Chincoteague,34.03,124.11,41.20
Chinju,65.70,317.85,-4.51
Chinook,18.10,304.54,22.50
Chive,9.09,303.98,21.68
Choctaw,23.95,322.75,-41.18
Chom,5.57,357.48,38.57
Chur,4.39,330.69,16.93
Circle,11.79,334.47,-22.17
Clova,7.75,307.95,21.46
Clark,97.50,226.79,-55.14
Clogh,11.20,312.33,20.56
Cluny,14.84,332.69,-23.86
Cobalt,10.52,332.96,-25.78
Coblentz,101.75,269.69,-54.89
Cobres,93.76,206.40,-11.69
Columbus,112.60,194.01,-29.29
Comas Sola,120.23,201.48,-19.59
Conches,20.88,325.79,-4.22
Concord,20.46,325.97,16.52
Cooma,17.85,251.65,-23.68
Copernicus,301.83,191.17,-48.84
Corby,6.61,137.56,42.87
Cost,11.06,104.01,14.97
Cray,6.98,343.88,44.09
Creel,9.18,321.14,-6.04
Crewe,3.68,340.47,-24.84
Crivitz,6.19,174.78,-14.55
Crommelin,110.08,349.86,5.07
Cruls,87.89,163.02,-42.91
Cruz,5.32,358.03,38.46
Cue,10.54,93.22,-35.83
Curie,111.10,355.24,28.78
Cádiz,1.37,310.97,23.14
Da Vinci,96.30,320.73,1.46
Daan,12.22,91.57,-40.47
Daet,10.57,318.20,-7.28
Daly,79.71,336.88,-66.29
Dana,88.49,327.20,-72.49
Dank,8.28,106.99,21.95
Darvel,22.36,308.98,17.78
Darwin,176.38,340.84,-56.97
Dawes,185.32,38.05,-9.10
de Vaucouleurs,302.26,170.99,-13.31
Deba,8.79,342.70,-23.95
Dein,25.52,357.48,38.20
Dejnev,152.09,195.35,-25.13
Delta,7.88,320.82,-45.96
Denning,159.71,33.52,-17.42
Dersu,5.88,308.11,22.63
Dese,13.14,329.38,-45.41
Deseado,26.99,70.28,-80.62
Dessau,9.95,306.87,-42.75
Dia-Cau,29.46,317.33,-0.36
Dingo,15.55,342.50,-23.70
Dinorwic,51.32,258.53,-30.03
Dison,20.66,343.49,-25.03
Dixie,28.44,304.08,17.77
Dokka,51.10,214.24,77.17
Dokuchaev,74.73,232.91,-60.62
Doon,3.79,109.50,23.52
Douglass,92.95,289.46,-51.34
Downe,28.12,175.78,-15.97
Dromore,14.74,310.41,19.88
Du Martheray,96.11,93.58,5.45
Dubki,9.18,304.79,-34.96
Dunhuang,11.73,311.47,-80.83
Dush,2.39,305.98,22.49
Dzeng,10.87,289.52,-80.50
Eads,2.74,330.09,-28.48
Eagle,12.50,351.83,43.80
Echt,2.14,331.81,-21.97
Edam,19.48,339.96,-26.28
Eddie,86.37,142.19,12.32
Eger,12.25,308.13,-48.29
Eil,5.55,350.25,41.72
Ejriksson,46.63,186.17,-19.20
Elath,13.23,346.39,45.87
Elim,43.62,96.79,-80.17
Ellsley,10.93,276.69,36.28
Ely,10.43,332.70,-23.61
Escalante,75.25,115.39,0.19
Escorial,22.23,304.96,76.89
